word,reading,example,,,level,meaning
悪い,わるい,今日は体の具合がわるいです。,,,8,"bad, poor, inferior"
悪,あく,「我は常世総ての善と成る者、  我は常世総てのあくを敷く者。  汝三大の言霊を纏う七天、  抑止の輪より来たれ、天秤の守り手よ―！」,,,8,"evil, wickedness"
安い,やすい,はいな おやすいご用でございますことよ。,,,8,"cheap, inexpensive calm, peaceful, quiet"
安全,あんぜん,国民のあんぜんが最も大切です。,,,8,safety security
暗い,くらい,くらい所にいっぱい並んでた人型のやつ,,,8,"dark, gloomy"
暗号,あんごう,あんごう化されていない敵の通信も 傍受しました,,,8,"code, password, cipher"
委ねる,ゆだねる,ゼロがいなくなったのですか？  いいえ 指揮権を現場に ゆだねただけで,,,8,"to entrust (a matter) to, to leave to"
委員,いいん,ハンター協会の風紀いいん。  「ハンター十ヶ条」の改訂論者。,,,8,committee member
意味,いみ,私が迷子でなくなったあとも この街に居続けていることには  きっと ちゃんとしたいみがあるのです,,,8,"meaning, significance"
意見,いけん,フッ なかなか辛辣 ないけん表明だな,,,8,"opinion, view, comment"
医者,いしゃ,いしゃってのは役得だな いやいや　 人徳　みたいなね,,,8,"(medical) doctor, physician"
医学,いがく,彼はいがくを学んでいます。,,,8,"medical science, medicine"
育つ,そだつ,野菜がよくそだっている。,,,8,"to be raised (e.g. child), to be brought up, to grow (up)"
育む,はぐくむ,ここは私との友情をはぐくむために一緒に行くトコでしょ,,,8,"to raise, to bring up, to rear to cultivate, to foster, to nurture"
教育,きょういく,国は国語きょういくを強化しています。,,,8,"education, schooling, training"
飲む,のむ,それより  めぐみんも お茶でものむかい？  よい茶葉が手に入ったんだ,,,8,"to drink, to gulp"
飲食,いんしょく,山田容疑者は、昨日新宿区歌舞伎町のいんしょく店で、  店にあった刃渡りおよそ12cmのナイフを使い、  後輩従業員の下腹部を刺した疑いを持たれています,,,8,"food and drink, eating and drinking"
寺院,じいん,ここってじいんなんじゃないかな,,,8,temple
病院,びょういん,「びょういんを終の棲家……って趣味悪いなぁ……」,,,8,hospital
運ぶ,はこぶ,いすを二階にはこんでください。,,,8,"to carry, to transport"
運動,うんどう,体育館で器械を使ってうんどうしたの。,,,8,"exercise, physical training"
泳ぐ,およぐ,彼女はダイエットのためにおよいでいる。,,,8,to swim
水泳,すいえい,母は健康のためにすいえいをしている。,,,8,swimming
駅,えき,えきはどこですか。,,,8,station
中央,ちゅうおう,その公園は町のほぼちゅうおうに位置するんだ。,,,8,"centre, center"
横,よこ,よこの長さは1メートルです。,,,8,"orizontal (as opposed to vertical), lying down width"
屋根,やね,やねにカラスが止まっています。,,,8,roof
部屋,へや,へやの隅にいすが積んであったの。,,,8,"room, chamber"
屋上,おくじょう,「水上さんがおくじょうにいないって確証でもあるのかなぁ……」,,,8,rooftop
温かい,あたたかい,あたたかい紅茶が飲みたい。,,,8,"warm, mild, genial"
温度,おんど,ここで部屋のおんどが調節できます。,,,8,temperature
化ける,ばける,金属やガラスなどの鉱物なら 何にでもばけられる,,,8,to take the form of
悪化,あっか,手の傷があっかした。,,,8,"(suffer) deterioration, growing worse, aggravation, degeneration, corruption"
進化,しんか,だが 我がブリタニアはそうではない  争い 競い 常にしんかを続けておる,,,8,"evolution, progress"
荷物,にもつ,彼は大きなにもつを担いで来たの。,,,8,"luggage, baggage"
負荷,ふか,"従来の宝珠の限界高度は6,000ですよ  宝珠のふかは許容値内だ！  それは理論上の話です！",,,8,"burden, load (e.g. cpu time, electricity, etc.)"
世界,せかい,これで既存の神のせかいは終わる,,,8,the world
業界,ぎょうかい,私はITぎょうかいで働いています。,,,8,"business world, business circles, (the) industry"
開く,ひらく,古からの屍臭を漂う密室で幼子が門をひらく時,,,8,to open
開発,かいはつ,ダムのかいはつに住民は反対しています。,,,8,"development, exploitation"
階級,かいきゅう,殉職で二かいきゅう特進　ヒューズ准将か,,,8,"(social) class rank, grade"
二階,にかい,兄はにかいにいます。,,,8,"second floor, upstairs"
寒い,さむい,この部屋はさむいです。,,,8,cold (e.g. weather)
悪寒,おかん,「ほ、ホントか！？　なんかオレ、前にもこのおかん感じたことあるような……」,,,8,"chill, shakes, ague"
感じ,かんじ,概ね そのとおりであって 非常に惜しいかんじなんだが...,,,8,"feeling, sense, impression"
感想,かんそう,ごかんそうをお聞かせ下さい。,,,8,"impressions, thoughts"
漢字,かんじ,このかんじの音読みは何ですか。,,,8,"Chinese characters, kanji"
館,やかた,その内の一人奇怪な仮面を　 やかたから持ち出し   ハンマーで粉々に砕いたという,,,8,"mansion, small castle"
図書館,としょかん,としょかんで料理の本を借りた。,,,8,library
岸,きし,船がやっときしに着いたよ。,,,8,"bank, coast, shore"
海岸,かいがん,かいがんを散歩しましょう。,,,8,"coast, beach"
期待,きたい,みんな私たちにきたいしています。,,,8,"expectation, anticipation, hope"
時期,じき,今はあなたにとって大事なじきです。,,,8,"* time, season, period, phase, stage * soon, shortly"
起きる,おきる,明日 日食がおきる あいつはそれを利用する気だ,,,8,"to get up, to rise"
起動,きどう,嚮導兵器Z-01  ランスロットきどうします  ランスロットきどうします  ハッチ開放,,,8,"startup, booting up"
客,きゃく,その店は若いきゃくが多いです。,,,8,"guest, visitor"
宮,みや,「そうさ。おみやの石垣や、コンクリートの道みちで、みがいたんだものな。」,,,8,"shrine palace, imperial residence"
子宮,しきゅう,しきゅうと卵巣の疾患モデルについてです,,,8,"womb, uterus"
急ぐ,いそぐ,私たちは駅へいそぎました。,,,8,"to hurry, to rush"
急速,きゅうそく,あの国の経済はきゅうそくに発展しているのね。,,,8,rapid (e.g. progress)
地球,ちきゅう,「何やってるのよぉ……上からちきゅう儀が落ちてきてたの！」,,,8,earth
野球,やきゅう,友達とやきゅうをしました。,,,8,baseball
研究,けんきゅう,彼はけんきゅうに打ち込んでいます。,,,8,"study, research, investigation"
高級,こうきゅう,私たちはこうきゅうホテルに泊まったの。,,,8,"high class, high grade"
去る,さる,さる者は追わず。,,,8,"not chase after someone who leavesto leave, to go away"
去年,きょねん,私はきょねんフランスへ行った。,,,8,last year
橋,はし,あのはしは日本で一番長い。,,,8,bridge
歩道橋,ほどうきょう,あの人　本当にこっちに来たのね  はい　このほどうきょうを渡ったという 目撃情報が入りました,,,8,pedestrian bridge
業,ごう,僕たちが選んだのは　そういうごうの道だ,,,8,karma (i.e. actions committed in a former life)
業,わざ,所詮わざ師にすぎぬ男,,,8,"deed, act, work, performance"
局,きょく,公安きょくです  もう 大丈夫 安心してください,,,8,"bureau, department"
曲がる,まがる,そこを左にまがってください。,,,8,"to bend, to curve"
作曲,さっきょく,このきょくは誰がさっきょくしたのですか。,,,8,"composition, setting (of music)"
金銀,きんぎん,正真正銘 本物のきんぎん財宝だ,,,8,silver (Ag)
銀行,ぎんこう,ぎんこうは3時まで開いています。,,,8,bank
区,く,何のために 監視官と執行官のく分けがあると思う,,,8,"ward, district, section"
地区,ちく,このちくは放射能に汚染されたんだ。,,,8,"district, section, sector"
苦しい,くるしい,国の財政はとてもくるしい状態だな。,,,8,"painful, difficult"
苦い,にがい,私はにがいコーヒーが好きです。,,,8,bitter
苦心,くしん,くしんして絵を描き上げました。,,,8,"pain, trouble, anxiety, diligence, hard work"
具体,ぐたい,ぐたい的な例をいくつか見せてください。,,,8,"concrete, tangible, material"
道具,どうぐ,このどうぐの用途を説明します。,,,8,"tool, implement"
君,きみ,き…きみ きみが介抱しくれたのか,,,8,you
君,くん,『こちら控え室！　今、似鳥くんが一生懸命デザインをしてるところよーん』,,,8,"Mr (junior), master, boy"
係,かかり,彼女は会場整理のかかりだったの。,,,8,"charge, duty, person in charge, official, clerk"
軽い,かるい,この靴はとてもかるい。,,,8,light
決める,きめる,帰国することにきめました。,,,8,"to decide, to choose"
