word,reading,example,,,level,meaning
握る,にぎる,姉さんハンドルにぎると暴走するんですよ かかみとつかさには人柱になって貰おう,,,4,"to clasp, to grasp, to grip"
握手,あくしゅ,彼らはあくしゅをした。,,,4,handshake
扱う,あつかう,この荷物は丁寧にあつかって下さい。,,,4,"to deal with (a person), to treat, to handle"
依頼,いらい,そのついでに 俺の装備も一式 新しくしようと思って いらいしておいたんだよ,,,4,"request, commission, entrusting"
依存,いぞん,「でもさ、裏切った人間を信じ続けるってどうよ？　それって単なるいぞんじゃね？」,,,4,"dependence, reliance"
依代,よりしろ,あのお札に封じられていたクチナワさんはそれを丸呑みにした撫子をよりしろに 復活したのですから クチナワさんは撫子なのですから,,,4,"object representative of a divine spirit, object to which a spirit is drawn or summoned"
偉い,えらい,彼はえらい学者です。,,,4,"great, excellent, admirable, remarkable"
偉大,いだい,人間のいだいさは 恐怖に耐える誇り高き姿にある,,,4,"great, grand, magnificent, outstanding, mighty"
権威,けんい,博士はその道のけんいです。,,,4,"authority, power, influence"
威勢,いせい,いせいがいいのはいいが死なねえ工夫は忘れんなよ はい,,,4,"power, might, authority"
為す,なす,騎士が軍馬を乗りこなすように、汝はそれをなすことが出来よう。往くぞ,,,4,"to build up, to establish to form"
行為,こうい,だが 仮に神がいるのなら こんな不条理なこういを放置するはずもありません,,,4,"act, deed, conduct"
維持,いじ,治安のいじは憲兵隊の役割である 門外漢の出る幕はない,,,4,"maintenance, preservation, improvement"
北緯,ほくい,いやー寒くなってきたね ほくい50度を越えましたからね,,,4,north latitude
南緯,なんい,「……なんい４７度９分、西経１２６度４３分」,,,4,southern latitude
違う,ちがう,引っ込んでな ジジイ トランプや花札とはわけがちがうぜ,,,4,"to differ (from), to vary"
違反,いはん,彼は校則にいはんしました。,,,4,"violation, offense, offence"
井戸,いど,こいつ いどの中へ逃げ込もうと 俺の体を操っている,,,4,water well
天井,てんじょう,一方 こちらが不支持率だ 残念だがてんじょう知らずだ,,,4,ceiling
油井,ゆせい,ゆせい掘削機,,,4,oil well (an oil drilling rig)
稲,いね,えっ あれって確か豊作祝うために いね 飾ってたんでしょ？ いね 穫れない所は 代わりにススキ飾ってただけで…,,,4,rice plant
水稲,すいとう,すいとうを作付けしている農家,,,4,wet-land rice
芋,いも,「雄飛、今日のお昼ご飯はなんだい？　僕は玄米パンとおいもだよ」,,,4,potato
日陰,ひかげ,暑いのでひかげで休みましょう。,,,4,"shade, shadow"
陰気,いんき,｢灰色の人｣と呼ばれる彼はいんきな保守主義者で あらゆる変化や改革を忌み嫌い 崇拝するルドルフ大帝の前例に しがみついていた,,,4,"gloomy, dismal, miserable"
隠す,かくす,僕にかくしていることは無いですか。,,,4,"to hide, to conceal"
隠居,いんきょ,と、いかん。自己紹介がまだだったな。私はジオ。楽いんきょの身で、たまに街をぶらぶらしている。,,,4,"retirement, retired person"
隠密,おんみつ,しかし君にはこのままおんみつとして租界内にいてもらいたい ゼロには いずれ紹介しよう  分かりました,,,4,"privacy, secrecy, spy, detective"
影,かげ,窓に男性のかげが映っています。,,,4,"shadow, silhouette, figure"
影響,えいきょう,不況のえいきょうで仕事が少ないね。,,,4,"influence, effect"
鋭い,するどい,これは剃刀のようにするどい　超高圧のバリア,,,4,"sharp (blade), pointed"
鋭利,えいり,遠目からではよく分からなかったかもしれないが 鎧の部分のそれぞれの継ぎ目がえいりなやいばになっておる,,,4,"sharp, keen, acute"
越える,こえる,不用意に稜線をこえるな！敵の的になるぞ！,,,4,"to cross over, to cross"
引っ越す,ひっこす,来月、大阪にひっこします。,,,4,"to move (house), to change residence"
優越感,ゆうえつかん,お前は ゆうえつかんいっぱいで　気持ちいいのかもしれないけれど 同情されるこっちはたまったもんじゃない,,,4,"superiority complex, sense of superiority"
援助,えんじょ,紋章を欲する貴族と姻戚関係を結び、金銭的なえんじょを得られれば、と・・,,,4,"assistance, aid, support"
救援,きゅうえん,我々は直ちに進発し 観測要員をきゅうえんする,,,4,"relief, rescue"
煙,けむり,えんとつからけむりがまっすぐ上っていたの。,,,4,"smoke, fumes"
禁煙,きんえん,彼は今、きんえんしています。,,,4,"abstaining from smoking, quitting smoking"
煙突,えんとつ,「あそこに団地があって……そこに焼却場のえんとつがあってさ……そんでそんで……」,,,4,"chimney, smokestack"
縁,ふち,グラスのふちに口紅がついてしまった,,,4,"rim, brim, edge, brink"
血縁,けつえん,えっと 桜霜学園に同じ名字の生徒が 在籍してます この子！けつえん者ですよ 狡噛さん！,,,4,blood relationship
縁起,えんぎ,ただの茶柱だろ えんぎ物というのはだな 都合の良いときだけあやかっておけばよいのだ,,,4,"omen, sign of luck"
鉛,なまり,「失敗して、なまりの弾が弾け飛ばなきゃな」,,,4,lead (Pb)
鉛筆,えんぴつ,「ボコボコにぶん殴った後に、鼓膜にえんぴつを突き刺して殴ってやるよ。痛いなんてもんじゃねぇぜ。たぶん……」,,,4,pencil
汚い,きたない,彼の部屋はとてもきたない。,,,4,"dirty, filthy, foul"
汚す,けがす,出て来い！ 殿下の御料車をけがす不届き者が！,,,4,"to pollute, to contaminate, to soil"
