word,reading,example,,,level,meaning
哀れ,あわれ,ひれ伏せ あわれなネズミよ そなたらの希望の綱 天刑劍は もう無いのだぞ？,,,3,"pity, sorrow, grief, misery"
悲哀,ひあい,だが残された者はひあいに沈んでばかりもいられない 帰途 シェーンコップがユリアンに指摘したとおりである,,,3,"sorrow, grief, sadness"
可哀想,かわいそう,「元から低い背が更に縮んで足も短くなったから遅いのね。かわいそう」,,,3,"poor, pitiable, pathetic, pitiful"
慰める,なぐさめる,「なんて酷いことを言うんだ君は。傷心したぞ。 悲しみに暮れるお姉さんをなぐさめるために、いいからさっさと来いっての」,,,3,"to comfort, to console, to amuse"
慰霊祭,いれいさい,この日 アスターテ会戦戦没者の いれいさいが行われようとしていた,,,3,memorial service
詠む,よむ,美しい風景を見て俳句をよんだ,,,3,"to recite (e.g. a poem), to chant, to intone"
詠唱,えいしょう,おい 呪文のえいしょうは どうした？ あっ 忘れた おい！,,,3,"singing, chanting"
恐悦至極,きょうえつしごく,お褒めにあずかりきょうえつしごく,,,3,extremely delighted
喜悦,きえつ,富も 栄華も 権力も 全て浮世の泡沫にすぎぬ 滅びの力をこの手に掴む 圧倒的なきえつに比べればなあ,,,3,joy
閲覧,えつらん,でもさ 何でデータベースで 調べないわけ？監視官なら 権限あるっしょ ファイルえつらんしたら 狡噛さんにバレちゃうじゃない,,,3,"inspection, reading, perusal"
検閲,けんえつ,ここに来る手紙はけんえつされます,,,3,"censorship, inspection, examination"
宴,うたげ,勝利のうたげに参加しないうちにヴァルハラへの抜け駆けは許さんぞ！,,,3,"party, banquet, feast"
宴会,えんかい,私が何をつかさどる女神か分かるでしょう？ えんかいの神様だろ？ 違うわよ ヒキニート！,,,3,"party, banquet, reception, feast, dinner"
炎,ほのお,ろうそくのほのおが部屋を照らしたんだ。,,,3,"flame, blaze"
肺炎,はいえん,皇帝は一〇年前に皇后を失った。難病とは言えない。風邪をこじらせてはいえんにかかったのである,,,3,pneumonia
北欧,ほくおう,伊達英二の返上したベルトを手にするのは ほくおうの狼か 浪速の虎か,,,3,"Northern Europe, Nordic countries, Scandinavia"
欧州,おうしゅう,おうしゅうの情報畑ではプラハで消えた人間の トレーサビリティーはゼロと言われているらしい,,,3,Europe
殴る,なぐる,彼は思わず友人をなぐったの。,,,3,"to strike, to hit, to beat, to punch"
殴打,おうだ,真に恐るべきは守りを強堅な髪の鎧に 委ねることでこそ可能な全身全霊を込めたおうだである,,,3,"hit, strike, blow"
乙,おつ,《なかなかおつなものだろう?》,,,3,"stylish, chic, spicy, witty"
卸す,おろす,「売り物じゃないよ。こんな小さいのは売れねえもの。市場におろすなら、 瀬戸内とか三陸とかで獲れるようなでっかいのじゃなきゃ。　そんなのここらじゃ滅多にねえけど」,,,3,to sell wholesale
穏やか,おだやか,喪服の楽団が奏でる旋律で霜月は高くおだやかに運ばれて行く。,,,3,"calm, gentle, quiet"
平穏,へいおん,人前でうっかり何かを生み出してしまったら こんなふうにへいおんには生かしてもらえんだろう,,,3,"tranquil, calm, restful, peaceful, quiet"
佳日,かじつ,鮮やかな桜の花弁が舞う この麗らかな春のかじつ,,,3,"auspicious day, good day, lucky day"
佳境,かきょう,夜も更け　ウイングのレクチャーもかきょうに入る,,,3,"most interesting part (of a story), climax, good part"
嫁ぐ,とつぐ,彼女はご機嫌取りのためにとつがされた娘でな だが王には かわいがられず城内でも虐げられていた,,,3,"to marry (of a woman), to become a bride, to marry into (a family)"
嫁,よめ,姉がよめに行ったの。,,,3,"wife, bride"
転嫁,てんか,「そしてボールズ大統領は、全ての原因が　かつてのアーサー王国、 その廃墟のせいだと　責任てんかを行い始めたのです」,,,3,"imputation, shifting (blame, responsibility, etc.), passing the buck"
架ける,かける,難攻不落のイゼルローン要塞をささえているという戦士の誇りと、 〝叛乱軍〟にたいする闘志が、かろうじて両者のあいだに橋をかけていた,,,3,"to suspend between two points, to build (a bridge, etc.)"
架空,かくう,かくうではなく現実の話をしようよ,,,3,"aerial, overhead, fictitious, imaginary"
担架,たんか,侍医は？侍女はおらんか！ 誰かたんかを！,,,3,"stretcher, litter"
華やか,はなやか,わ～。向こうもすっごいわね。でも、ＥＵの方が断然、はなやかよね！さっすがネロちゃんのステージ！,,,3,"showy, brilliant, gorgeous, florid, gay"
豪華,ごうか,これだけごうかな面々が揃ったんだからね。今日という日を急ぐのが惜しいよ,,,3,"wonderful, gorgeous, splendor, splendour"
餓死,がし,そんな事をしても誰も助からん　 皆をがしさせるつもりか,,,3,"(death from) starvation, starving to death"
塊,かたまり,道に土のかたまりができてたよ。,,,3,"lump, mass, bundle, clump"
石塊,いしころ,（おらぬと思うておったに……　いても、つまらぬいしくれであろうと……）,,,3,"stone, rock, pebble"
氷塊,ひょうかい,ひょうかいを刳り抜いて取り付けたバサードラムジェットは 星間物質を吸収しながら エネルギーに転換して 加速を続け かぎりなく高速に近づいていく,,,3,"lump of ice, block of ice, ice floe"
怪しい,あやしい,いやねえ 最近自販機の偽札事件が多くてね  あやしい人物とか見なかったかなあと思って,,,3,"suspicious, dubious, doubtful"
怪我,けが,「けがはとっくに治ってるから、病人扱いするなって。 あんまり心配されてると、ほんとに気分が滅入ってくる」,,,3,"injury (to animate object), hurt"
怪獣,かいじゅう,「馬鹿デカくなりやがって……とりあえず合体かいじゅうゴンドラと命名しておこう」,,,3,monster
悔やむ,くやむ,くやんでも しょうがないことだけど チャンスはあったよ 本当に惜しかった,,,3,"to mourn, to lament to be sorry, to regret, to repent"
悔しい,くやしい,試合に負けてとてもくやしい。,,,3,"vexing, annoying, frustrating, regrettable, mortifying"
後悔,こうかい,オレの部下になるってことは日陰者だぞ  こうかいすんなよ,,,3,"regret, repentance, remorse"
感慨,かんがい,かんがいに浸りたいのは分かるけど 次の打ち合わせに出かける時間よ,,,3,"deep emotion, strong feelings"
気概,きがい,「……警察だと？　馬鹿な。あの腑抜け共に六波羅を相手取るきがいがあるか」,,,3,"strong spirit, mettle, backbone, guts"
概ね,おおむね,おおむねそのとおりであって 非常に惜しい感じなんだが...,,,3,"in general, generally, mostly"
概念,がいねん,お前には思い出を大切にするという がいねんがないのか？,,,3,"general idea, concept, notion"
一概に,いちがいに,死んでも そのあとも意識を保ち続けられるというのは幸運と言ってもいいんだと思う いちがいにそんなの言えないんじゃないのか？,,,3,"unconditionally, as a rule"
該当,がいとう,がいとうするデータが一つありました　……例のアレですわ,,,3,"corresponding to, being applicable to, being relevant to"
当該,とうがい,とうがい魔導師の出現が確認されたのは２か月前,,,3,"appropriate (e.g. authorities), concerned, relevant"
収穫,しゅうかく,お米のしゅうかくが始まったね。,,,3,"harvest, crop, ingathering"
輪郭,りんかく,彼女はやせて顔のりんかくがすっきりした,,,3,"contour, outline, border, summary, outline"
城郭,じょうかく,じょうかくに弩砲を設置し、城外の敵を撃つ。 この時、射角はどのように設定すべきか。,,,3,"fortress, castle, citadel, enclosure, castle walls"
隔てる,へだてる,笑い事じゃない 今の俺から 扉一つ へだてた 向こう側に シビュラシステムの中枢がある,,,3,"to separate (by distance, time, etc.), to isolate, to partition"
間隔,かんかく,確かにいるな 村全体を等かんかくで包囲しています,,,3,"space, interval"
隔離,かくり,他にも数人いる あの岬にかくりされてるんだ,,,3,"isolation, segregation, separation, quarantine"
岳,たけ,日本海側から見た白神山地。その名の由来となった白神だけが間近に迫る。,,,3,"peak, mountain"
山岳,さんがく,万が一に備えてハイネセンでも 民間人をさんがく部に疎開させておるが,,,3,mountains
掛ける,かける,主人はもう出かけました。,,,3,"go out, be about to go out"
掛け算,かけざん,弟はかけざんを習っている。,,,3,multiplication
滑る,すべる,サメの歯のような形の細かい 微小な しかも鋭いツメが エッジの部分をすべるように走っていたのだ,,,3,"to glide, to slide, to slip"
滑らか,なめらか,この生地はなめらかな手触りが特長です。,,,3,"smooth (of a surface), glassy, velvety, soft"
円滑,えんかつ,その会議はえんかつに進行しています,,,3,"smooth, undisturbed, uninterrupted, harmonious"
滑走路,かっそうろ,超高速で宇宙空間を疾走する母艦からきり離された時点で、 慣性によってすでに母艦以上の速度に達しており、かっそうろやカタパルトは不要なのだ。,,,3,runway
冠,かんむり,蓮華で作ったかんむりの出来上がり！,,,3,"crown, diadem"
栄冠,えいかん,（僕と操が手にするえいかんの前には……　こんな事、何程のものでもない）,,,3,"laurels, garland"
勘定,かんじょう,おかんじょうをして下さい。,,,3,"calculation, computation, counting"
勘違い,かんちがい,あれは実は私のかんちがいでした。,,,3,"misunderstanding, mistaken idea, wrong guess"
喚く,わめく,生まれた時から定められていた、邪鳥鬼鳥が囂しく泣きわめくだけの人生を、 今ここで俺は変えられる。,,,3,"to shout, to cry, to scream"
喚起,かんき,閣下　あるいは 無用の言かとは存じますが ご注意をかんきしておきたいことがあります,,,3,"arousal, excitation, awakening, evocation"
召喚,しょうかん,ご協力 感謝します どうやら何者かが モンスターをしょうかんしているようです,,,3,"summons, summonsing, citation, subpoena"
