word,reading,example,,,level,meaning
一,いち,また沼だいち　に　さん　し,,,10,one
一つ,ひとつ,わかった　あんたの望むとおりにすればいい ただ　もうひとつ答えてほしい問いがある,,,10,one
二,に,私達は 既に に本の刀を入手しておる,,,10,two
二つ,ふたつ,ウロさんは当分 このふたつの巣の間しか行き来できなくなった,,,10,two
三,さん,あいつらさん人がかりでも　全く敵わないはずなんじゃないのか,,,10,three
三つ,みっつ,大総統からの指示はみっつ まず一つ目...,,,10,three
四,し,しの五の言わずついてこい,,,10,four
四つ,よっつ,ひとつ　ふたつ　みっつ　よっつ　いつつ　むっつ　ななつ　やっつ　ここのつ 落ち着いた？,,,10,four
五,ご,あんたは旅を始めてどのくらいになるんだ ご年になるな,,,10,five
五つ,いつつ,ひとつ　ふたつ　みっつ　よっつ　いつつ　むっつ　ななつ　やっつ　ここのつ 落ち着いた？,,,10,five
六,ろく,どれくらいになるの ろく年になるかね,,,10,six
六つ,むっつ,ひとつ　ふたつ　みっつ　よっつ　いつつ　むっつ　ななつ　やっつ　ここのつ 落ち着いた？,,,10,six
七,しち,それで しち人亡くなったわ,,,10,seven
七つ,ななつ,ひとつ　ふたつ　みっつ　よっつ　いつつ　むっつ　ななつ　やっつ　ここのつ 落ち着いた？,,,10,seven
八,はち,みんな決まって誕生日に死ぬんだ もう西区だけではち人目だってよ,,,10,eight
八つ,やっつ,ひとつ　ふたつ　みっつ　よっつ　いつつ　むっつ　ななつ　やっつ　ここのつ 落ち着いた？,,,10,eight
九,きゅう,きゅう本目,,,10,nine
九つ,ここのつ,ひとつ　ふたつ　みっつ　よっつ　いつつ　むっつ　ななつ　やっつ　ここのつ 落ち着いた？,,,10,nine
十,じゅう,今から二じゅう年前の事だ,,,10,ten
十,とお,飲み込みはかなりいいし あと とお日くらいか,,,10,ten
左,ひだり,その ひだり手 どんな調子だ？,,,10,left
左右,さゆう,さゆうにも敵軍が！囲まれました ええい！撃て　撃てよ,,,10,left and right
右,みぎ,あ　みぎ手で描くと何もないんですけど,,,10,right
雨,あめ,あら あめに濡れたのね すぐ着替え出すからね,,,10,rain
小雨,こさめ,そよ風に吹き飛ばされ こさめで寝込む そんな弱き体を酷使して ここまで自力で昇ったのだ 褒めて欲しいくらいだわ,,,10,"light rain, drizzle"
円,えん,委員長ちゃんのときも 確か10万えん だったと思うけれど 僕のときは 500万だったって言ってんだよ！,,,10,yen
王,おう,怪異のおう 吸血鬼  その影響で あの神社に 良くないものが集まり始めていた,,,10,"king, ruler"
王子,おうじ,相変わらず子供だな 白馬のおうじって言って欲しいなあ,,,10,prince
音,おと,あのおと 変だよ この近くに鐘なんてないし 父さん達何も聞こえないって言うんだ,,,10,"sound, noise"
