word,reading,example,,,level,meaning
血圧,けつあつ,母ショックでけつあつが上がってしまった,,,6,blood pressure
気圧,きあつ,高い山はきあつが低いね。,,,6,atmospheric pressure
易しい,やさしい,この問題はかなりやさしいです。,,,6,"easy, plain, simple"
貿易,ぼうえき,父はぼうえきの仕事をしています。,,,6,trade (foreign)
容易,ようい,彼はその問題をよういに解決したわ。,,,6,"easy, simple, plain"
移る,うつる,彼女は新しい会社にうつった。,,,6,"to move (house), to transfer"
移動,いどう,私たちはレンタカーでいどうしました。,,,6,"movement, transfer"
因る,よる,彼の病気は過労によるものです。,,,6,"to be due to, to be caused by"
原因,げんいん,この事故のげんいんは何ですか。,,,6,"cause, origin, source"
営む,いとなむ,彼は飲食店をいとなんでいる,,,6,"to run (a business), to operate"
営業,えいぎょう,通常は夜8時までえいぎょうしています。,,,6,"business, trade, sales, operations"
永遠,えいえん,平和は人類のえいえんのテーマです。,,,6,"eternity, perpetuity"
守衛,しゅえい,お察しの通り私はしゅえいじゃない。  ミケの後片付けをする掃除夫です。,,,6,"security guard, doorkeeper"
液体,えきたい,洗濯にえきたいの洗剤を使っています。,,,6,"liquid, fluid"
血液,けつえき,心臓は全身にけつえきを送り出している。,,,6,blood
利益,りえき,彼は株式の売買で多額のりえきを得たのさ。,,,6,"profit, gains"
益々,ますます,状況はますます悪くなったね。,,,6,"increasingly, more and more"
演説,えんぜつ,彼は地方でえんぜつしたのよ。,,,6,"speech, address"
講演,こうえん,彼のこうえんは評判がいい。,,,6,"lecture, address, speech"
往復,おうふく,おうふく切符をください。,,,6,"making a round trip, going and returning"
往生,おうじょう,俺の名は殤不患（ショウフカン）  気が済んだなら 迷わずおうじょうしな,,,6,passing on to the next life
応じる,おうじる,私は彼の要望におうじました。,,,6,"to respond, to satisfy, to accept"
反応,はんのう,世間のはんのうは冷たかったよ。,,,6,"reaction, response"
恩,おん,このごおんは一生忘れません。,,,6,"favour, favor, obligation, debt of gratitude"
恩師,おんし,「そう言えば、小林先生って瀬名川先生のおんしなんだっけ？」,,,6,"teacher, one's former teacher"
仮,かり,かりの申し込みをしました。,,,6,"temporary, provisional, interim"
仮定,かてい,かていの話だけでは結論は出ません。,,,6,"assumption, supposition, hypothesis"
価格,かかく,ガソリンのかかくがどんどん上がっている。,,,6,"price, value, cost"
許可,きょか,その件でしたら、先程上司からきょかを得ております。,,,6,"permission, approval, authorization"
可能,かのう,20キロのダイエットはかのうだと思いますか。,,,6,"potential, possible, practicable, feasible"
河川,かせん,日本のかせんは比較的短い,,,6,rivers
運河,うんが,ふははははは  シンクー  うんがの決壊がおまえの策か  しかし水量は減らしておいたんだよ,,,6,"canal, waterway"
過ち,あやまち,同じあやまちを繰り返さないことだ。,,,6,"fault, error, indiscretion, faux pas"
過ぎる,すぎる,時がすぎるのは速い。,,,6,"to pass through, to pass by"
過去,かこ,それはかこの話だ。,,,6,"the past, bygone days"
通過,つうか,次の駅はつうかします。,,,6,"passage through (e.g. train skipping a station), transit"
年賀状,ねんがじょう,昨日、ねんがじょうを出しました。,,,6,New Year's card
祝賀,しゅくが,オーベルシュタイン  明日の戦勝しゅくがの式典が終わり次第  卿は一足先に オーディンに立ち戻り...,,,6,"celebration, congratulations"
理解,りかい,彼の行動はりかいできない。,,,6,"understanding, comprehension, appreciation, sympathy"
解決,かいけつ,トラブルがやっとかいけつした。,,,6,"settlement, solution, resolution"
快い,こころよい,彼女はこころよい眠りについています。,,,6,"pleasant, agreeable"
快晴,かいせい,今日はかいせいですね。,,,6,"clear weather, cloudless weather, good weather"
軽快,けいかい,彼らはけいかいなステップで踊り出したの。,,,6,"light (of movements), nimble, sprightly"
格好,かっこう,かっこうのいい青年に会ったよ。,,,6,"shape, form, figure"
確か,たしか,彼の昇進はたしかだ。,,,6,"sure, certain, positive"
確率,かくりつ,天気予報は当たるかくりつが高くなりましたね。,,,6,"probability, likelihood, chances"
額,がく,写真をがくに入れて飾ったんだ。,,,6,picture (framed) amount or sum (of money)
額,ひたい,ひたいに汗をかいたよ。,,,6,"forehead, brow"
夕刊,ゆうかん,そのニュースはゆうかんで見ました。,,,6,evening paper
朝刊,ちょうかん,今日のちょうかんに面白い記事があった。,,,6,morning newspaper
幹,みき,この木のみきはとても太いよ。,,,6,"(tree) trunk, (arrow) shaft, (tool) handle, backbone, base"
幹部,かんぶ,あの会社のかんぶは皆とても優秀だね。,,,6,"management, (executive) staff, leaders"
慣れる,なれる,新しい家にはもうなれましたか。,,,6,"to get used to, to grow accustomed to"
習慣,しゅうかん,毎朝コーヒーを飲むのがしゅうかんです。,,,6,"habit custom, cultural practice"
近眼,きんがん,彼女はきんがんです。,,,6,"nearsightedness, shortsightedness, myopia"
千里眼,せんりがん,そして“せんりがん”このスキルによって真っ暗闇でも空間の把握が可能となったのだ,,,6,clairvoyance
基づく,もとづく,この話は真実にもとづいています。,,,6,"to be grounded on, to be based on"
基本,きほん,今、ジャズダンスのきほんを習っています。,,,6,"foundation, basis, standard"
寄る,よる,帰りに叔母の家によります。,,,6,"to approach, to draw near"
寄付,きふ,恵まれない子供たちにお金をきふしました,,,6,"contribution, donation"
定規,じょうぎ,線を引くならじょうぎを使って引きなさい,,,6,(measuring) ruler
規制,きせい,牛肉の輸入が厳しくきせいされているわね。,,,6,"regulation, (traffic) policing, control, restriction"
技,わざ,今度は能力と能力 わざとわざ 精神と精神,,,6,"technique, art, skill"
競技,きょうぎ,彼は個人きょうぎのスポーツが好きです。,,,6,"game, match, contest"
技能,ぎのう,彼は高いぎのうを身につけている,,,6,"technical skill, ability, capacity"
講義,こうぎ,彼のこうぎはとても分かりやすいですね。,,,6,lecture
義務,ぎむ,労働は国民のぎむです。,,,6,"duty, obligation, responsibility"
逆らう,さからう,親にさからうのは良くない事です。,,,6,"to go against, to oppose, to disobey, to defy"
逆,ぎゃく,駅はぎゃく方向です。,,,6,"everse, opposite"
久しい,ひさしい,ひさしいな　ルルーシュ 我が息子よ,,,6,"long (time), long-continued, old (story)"
永久,えいきゅう,彼はえいきゅうに帰らぬ人となったのよ。,,,6,"eternity, permanence, perpetuity"
旧,きゅう,きゅうソビエトは今はロシアと呼ばれている。,,,6,"ex-, former, old"
復旧,ふっきゅう,どのくらいでふっきゅうするのだ  はっ ４時間ほどかかります,,,6,"restoration, restitution, rehabilitation"
居る,いる,我々に牙を剝いておきながら 生き永らえた奴がいるなんて  見過ごせるわけがない,,,6,"to be (of animate objects), to exist"
居候,いそうろう,いつも祖母がお世話になってます  私　孫の林香具矢といいます　暫くいそうろうすることになりました,,,6,"lodger who pays nothing for room and board, freeloader, sponger"
居住,きょじゅう,彼は長年フランスにきょじゅうしている,,,6,residence
許す,ゆるす,私は彼をゆるしました。,,,6,"to permit, to allow to pardon"
境,さかい,2つの市のさかいに川が流れているの。,,,6,"border, boundary"
国境,こっきょう,あの山のすぐ近くがこっきょうです。,,,6,"national border, provincial border"
復興,ふっこう,「いいか、貫太。　これからちゃーんと、ふっこうで恩返しするんだぞ」,,,6,"revival, renaissance, reconstruction, restoration"
興味,きょうみ,彼は新製品にきょうみを示している。,,,6,"interest (in something), curiosity (about something), zest (for)"
興す,おこす,例えば レオナルド ･ ダ ･ ヴィンチ  古代中国で魏の国をおこした曹操(Cao Cao),,,6,"to establish (e.g. a company), to build up, to set up"
平均,へいきん,日本人のへいきん収入はどの位ですか。,,,6,"average, mean"
禁じる,きんじる,市は昨年から歩きタバコをきんじているの。,,,6,to prohibit
禁止,きんし,交差点付近は駐車きんしです。,,,6,"prohibition, inhibition, ban"
文句,もんく,彼女はいつももんくばかり言う。,,,6,"complaint, grumbling, objection"
群れ,むれ,湖に鳥のむれがいたよ。,,,6,"group, crowd, flock"
