word,reading,example,,,level,meaning
馬鹿,ばか,怯えさせて悲しませちまったじゃねぇか このばかたれが,,,2,"idiot, moron, fool"
挨拶,あいさつ,えっと… 校長先生とかの あいさつを聞いて 新入生の名前 呼んで 校歌を歌って終わりかな,,,2,"greeting, greetings, salutation, salute"
宛名,あてな,手紙にあてなを書き込んだよ。,,,2,"(addressee's) name, (recipient's) name and address"
宛,あて,まあ 俺の部屋に つまり俺あてに出されていた手紙だ,,,2,"aim, object, purpose, end,  expectations, prospects"
宵闇,よいやみ,余は、よいやみの住民なり…,,,2,"dusk, twilight"
闇黒,あんこく,「……光射す世界に、汝らあんこく、棲まう場所無し！　渇かず飢えず、無に還れ――！」,,,2,darkness
椅子,いす,「その通りだ。　安楽いすの探偵を気取っていてもどうにもならん」,,,2,"chair, stool,  post, office, position"
畏まりました,かしこまりました,ああ 咲世子さん お茶を入れてくれないか？ はい　かしこまりました,,,2,certainly!
畏敬,いけい,「答える前に一つ――なぜ卿は、それを私にだけ明かそうとする」 私があなたを、いけい申し上げているからだ、獣殿。,,,2,"reverence, awe, respect"
畏怖,いふ,では 某の偉容に瞠目し いふするがよい,,,2,"awe, fear, fright"
萎む,しぼむ,すると 今度は、急にお月さまが笑いながら、段々しぼんで、卵になってしまいました。,,,2,"to wither (of flowers, dreams, etc.), to wilt, to droop, to shrivel"
萎える,なえる,「獣姦は創作の中だけ！　リアルはちょっとなえるから」,,,2,"to lose strength, to become weak, to disappear (of energy, drive, etc.),  to wither"
萎れる,しおれる,どうやって作ったらいいかわかんねえんだ! 悩んでたら花もしおれてきちまってよお・・・,,,2,"to wither, to wilt, to droop, to fade,  to be dejected, to be disheartened, to be depressed, to be crestfallen,"
萎縮,いしゅく,西住ちゃんには事実を知っていしゅくするより のびのび試合して欲しいからさ…,,,2,"withering, shrivelling, shrinking, atrophy"
茨,いばら,いばらの道だな。,,,2,"thorny shrub wild rose, briar,  thorn cusp"
茨城県,いばらきけん,もう一つはいばらきけんつくば市にある高エネルギー加速器研究機構の 世界最高性能の電子陽電子衝突型加速器「SuperKEKB」です,,,2,Ibaraki prefecture
咽ぶ,むせぶ,「……そんな　感動にむせび泣くような名言でもないだろう？」,,,2,"to be choked, to be stifled, to be smothered"
耳鼻咽喉,じびいんこう,4月からじびいんこう科を開設したほか 8月からは禁煙外来を始めたことなどを説明しました,,,2,"ear, nose, and throat"
