word,reading,example,,,level,meaning
愛しい,いとしい,彼女はいとしい夫の帰りを待ち続けた,,,7,"lovely, dear, beloved, darling"
愛犬,あいけん,紹介するよ ダニーってんだ 僕のあいけんでね,,,7,"pet dog, beloved dog"
案外,あんがい,なぜそんなに詳しく知ってらしゃるんですか？  この女あんがい鋭いぜ,,,7,"unexpectedly, surprisingly"
以上,いじょう,飛行機が1時間いじょう遅れた。,,,7,"not less than, ... and more, ... and upwards"
以後,いご,すみません、いご気を付けます。,,,7,"after this, from now on"
位,くらい,くらいが上がれば責任も増えるものだ。,,,7,"social standing, rank, class"
位置,いち,私の町は東京の北にいちします。,,,7,"place, situation, position, location"
囲む,かこむ,久しぶりに家族全員で食卓をかこみました。,,,7,"to surround, to encircle"
周囲,しゅうい,大声で話すとしゅういの人に迷惑ですよ。,,,7,surroundings
胃,い,昨日からいが痛い。,,,7,stomach
胃腸,いちょう,彼はいちょうが強くありません。,,,7,stomach and intestines
衣,ころも,寒風では旅人はころもを纏うだけだが  熱さは音を上げさせる,,,7,"clothes, garment"
衣服,いふく,彼の会社はいふくを扱っているよ。,,,7,clothes
印,しるし,間違いにしるしを付けておきました。,,,7,"mark, sign"
印刷,いんさつ,年賀状をいんさつしたの。,,,7,printing
栄える,さかえる,ここはかつてゴールドラッシュでさかえた町だよ。,,,7,"to prosper, to flourish"
栄え,はえ,あの小僧がはえある  宇宙艦隊司令長官とは世も末だと,,,7,"glory, prosperity"
栄養,えいよう,豆腐はえいようのある食べ物です。,,,7,"nutrition, nourishment"
英語,えいご,あなたはえいごが話せますか。,,,7,English (language)
塩,しお,しおを少々入れてください。,,,7,salt
億,おく,世界人口は65おく人だ。,,,7,"10^8, 100,000,000, hundred million"
加える,くわえる,塩、コショウをくわえてください。,,,7,"to add, to add up"
参加,さんか,彼は地域の活動にさんかした。,,,7,participation
果たす,はたす,彼はしっかりと責任をはたしました。,,,7,"to accomplish, to achieve"
結果,けっか,試合のけっかを早く知りたい。,,,7,"result, consequence"
